CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
40851063  ,MASCULINO,UNITEC-DUV,PREGRADO,88.50,89.00,16.00,57.00,1,1,INTRODUCCION AL ALGEBRA       ,RET,FCAS,Admon. Empresas
51911112  ,FEMENINO,UNITEC-DUV,PREGRADO,0.00,0.00,0.00,57.00,1,1,OFIMATICA I                   ,RET,FCAS,Admon. Empresas
51811126  ,FEMENINO,UNITEC-DUV,PREGRADO,68.12,73.00,4.00,59.00,1,1,GER.RECURSOS HUMANOS I        ,RET,FCAS,RRHH
51911038  ,FEMENINO,UNITEC-DUV,PREGRADO,0.00,0.00,0.00,57.00,2,2,ADMINISTRACION I              ,RET,FCAS,Mercadotecnia
51911038  ,FEMENINO,UNITEC-DUV,PREGRADO,0.00,0.00,0.00,57.00,2,2,COMUNICACIÓN ORAL Y ESCRITA   ,RET,FCAS,Mercadotecnia
31211882  ,FEMENINO,UNITEC-DUV,PREGRADO,68.33,74.00,23.00,57.00,2,2,ADMINISTRACION II             ,RET,FCAS (UNITEC),Admon. Empresas A
31211882  ,FEMENINO,UNITEC-DUV,PREGRADO,68.33,74.00,23.00,57.00,2,2,ANALISIS CONTABLE II          ,RET,FCAS (UNITEC),Admon. Empresas A
51911016  ,MASCULINO,UNITEC-DUV,PREGRADO,0.00,0.00,0.00,57.00,2,2,ESPAÑOL                       ,RET,FCAS (UNITEC),Admon. Empresas A
51911016  ,MASCULINO,UNITEC-DUV,PREGRADO,0.00,0.00,0.00,57.00,2,2,SOCIOLOGIA                    ,RET,FCAS (UNITEC),Admon. Empresas A
51711029  ,FEMENINO,UNITEC-DUV,PREGRADO,80.95,78.00,24.00,59.00,4,4,DERECHO INDIVIDUAL DEL TRABAJO,RET,FCAS (UNITEC),RRHH A
51711029  ,FEMENINO,UNITEC-DUV,PREGRADO,80.95,78.00,24.00,59.00,4,4,PSICO. EN HIG. Y SEG. INDUST. ,RET,FCAS (UNITEC),RRHH A
51711029  ,FEMENINO,UNITEC-DUV,PREGRADO,80.95,78.00,24.00,59.00,4,4,GER.RECURSOS HUMANOS I        ,RET,FCAS (UNITEC),RRHH A
51711029  ,FEMENINO,UNITEC-DUV,PREGRADO,80.95,78.00,24.00,59.00,4,4,CULTURA Y CAMBIO ORGANIZA.    ,RET,FCAS (UNITEC),RRHH A
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,ORIENTACIÓN VOCACIONAL        ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,QUÍMICA II                    ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,FÍSICA II                     ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,GENERACIÓN DE EMPRESAS        ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,HISTORIA DE HONDURAS          ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,INGLÉS II                     ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,LENGUAJE ARTÍSTICO            ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,MATEMÁTICA II                 ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,BIOLOGÍA II                   ,RET,BACHILLERATO,Bachillerato
B31851012 ,MASCULINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,ESPAÑOL II                    ,RET,BACHILLERATO,Bachillerato
B31851013 ,FEMENINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,BIOLOGÍA II                   ,RET,BACHILLERATO,Bachillerato
B31851013 ,FEMENINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,ESPAÑOL II                    ,RET,BACHILLERATO,Bachillerato
B31851013 ,FEMENINO,CEUTEC-TGU,BACHILLERATO,0.00,0.00,0.00,46.00,10,10,FÍSICA II                     ,RET,BACHILLERATO,Bachillerato
